,review,polaritas
0,staff amazing relaxing atmosphere rented motorcycle drove around half island day departutebecause left early staff prepared delicious breakfast box imaginable highly recommended,1
1,took ferry bus tabo cottage checked given first floor room huge basic aircon fan bed also huge veranda overlooked pool lake food hotel really good hotel tour able get gin tonic rather beer think biggest draw hotel right lake able swim cool hot book treatment spent happy hour pampered spent night would happily spent longer peaceful especially week full touring around sumatra would love return one day little peace paradise,1
2,returned staying tabo cottage rd time many thanks annette team great hospitality service tabo cottage one upscale serviceoriented place stay lake samosir conveniently located tuktuk plenty shop restaurant outside direct water access jetty public boat parapat whole place super lovely nice start forget day get used relaxing atmosphere kudos annette manager alfon training local batak staff really great job give really nice time hotel come nice restaurantcafe coffee bakery pool quiet garden spa massage,1
3,currently still writing review need give review still fresh mind pro calm peaceful relaxing thats youre looking checking fast regret booking batak villa warn there tv phone aircon room dont need surrounded majestics hill beautiful lake greenness food restaurant good breakfast although much variety still sufficient con service staff restaurant pay attention guest rather chatting find time want make order proper signage spa make u little bit confused looking massage scrub spa,1
4,disembarked jetty right edge garden cottage big pool right lake front room balcony overlooking lake perfect room basic clean found staff super friendly helpful breakfast didnt eat coffee cake excellent organised u great mountain biking trip let driver book one name got ferry different guy picked u stopped somewhere different guy got none spoke english little freaky especially trying explain needed go resulted driving like mad man throwing u reached destination,1
5,enjoy lake turn car machine dont make noise keep drinking beer room without tv ac still worry cause u got comfort got fan great breakfast tuktuk thumb affordable nice restaurant tuktuk highly recommended tuktuk overall come,1
6,slept night think one best place stay tuk tuk big suite nice view lake garden swimming pool breakfast good everybody friendly helpful also offer massage day trip went traditional batak trip erick great guy explained everything culture food use spicing though thought bit much orientated western style eaten better meal indonesia enough choice neighbourhood go,1
7,pretty min boat ride across lake toba get tabo cottage boat drop pontoon junior suite ground floor spacious room sofa mini bar tea coffee making facility decent sized bathroom although hand held shower pool area lovely lot little area ground sit including story batak style open air building right lake front swim lake kayak paddle board hire food ok place stayed food came ready rather table meal better others didnt go hungry saturday night buffet live music breakfast buffet good selection asian,1
8,spent night end two week sumatra nice room good restaurant cold bintang didnt venture ground lovely time leave caught ferry parapat hotel jetty,1
9,situated right lake stopping point lake taxi pleasant place indeed room different price bracket different amenity twin bed veranda hotcold water stayed two previous hotel cold water enjoyed luxury room positioned around managed garden variety pavilion either eat relax wifi occasionally erratic otherwise available area garden room hotel short walk restaurant area hill good breakfast plenty choice lunch dinner menu also good excellent onehour massage rupiah uk pound remember,1
10,impresive place tabo cottageclean room sustainible place food alsa good breakfast super good brown bread breakfast people friendly good serviceplease stay tabo cottage holiday,1
11,enjoyed stay ground hotel great lovely place relax staff also really nice area could improve mosquito net room mosquito net given hotel located beside lake lot mosquito even cheap hotel road provide huge negative ask room sprayed night done default room cleaning dont clean room unless requested environmental reason given expensive hotel think cop replacing towel changing bed sheet daily accept good environment making bed emptying bin,1
12,friend spent three night tabo cottage large property spacious garden many covered hut chill well pool access lakea perfect place relaxthe room come number type price range situated mainly kind lshape facing lake full lake view important suspect property offer consistently fact within room type seemed quite variety location back property closer lake extent quality switched batak villa saw least two roomsone much grander private balcony nearer main road one closer lake older bathroom open,1
13,relaxing charming place unwind enjoy local batak culture architecture without sacrifice modern comfort arrive samosir island via boat parapet dock tabo cottage walk minute lobby past lovely tropical flower greeted friendly staff served welcome drink shown room lovely room flight stair veranda unobstructed view across length property lake cant recall room closest side entrance restaurant room spacious king size bed sofa coffeemaker small fridge plenty room luggage clothes nofrills nice bathroom though room ceiling fan,1
14,friend stayed night twin sharing batak house styled room room huge pretty stair leading top level mattress lie overlooking lake toba room made wood mostly occasional bug like ant fly common sight room clean toilet great warm water running balcony hammock making ideal place hangout sight seeing samosir island receives great amount sun great dry wet clothes taking dip magnificient lake toba stone throw away hotel restaurant friend got massage well hotel staff kind albeit little flirty arrange,1
15,spent four night lovely propertyfrom welcome drink warm reception excellent downstairs room amenity one highlight holidayservice good food coffee superbwe bought take home new zealandthe buffet breakfast delicious egg cooked order front nice touchthe pool lovely clean time crowded made good use staythe location deg north equator meter sea level made ideal climateour one regret stay longer,1
16,fourth fifth time stayed tabo cottage past related work time vacation family thoroughly enjoyed stay annette attentive owner staff try make everyones stay pleasant possible location gorgeous serene peaceful cove tuk tuk peninsula samosir island booking communication website quick easy response time great getting ferry parapat easy rp per person one way get dropped hotel dock room spacious space luggage wardrobe hang clothes great bathroom hot water unlike hotel room hot,1
17,stayed night tabo cottage booked u tour company suspect booked basic room nothing wrong room however right car park bit noisy lacking privacy time room said negative experience rest stay great hotel built beautiful land right lake good sized pool swimming lake good range food available restaurant local western well stocked bar restaurant bar lovely area sit evening eat drink look resort room comfortable apart location room around resort looked,1
18,tabo cottage owned operated annette husband wonderful place life relax directly lake batak villa night liked special atmosphere house view lake silence within many small nice useful detail see european hand annette loved simply relax pool food good staff helpful friendly local organic coffee produced annette tasty best coffee ever indonesia come back lake toba definitely life tabo cottage recommend everyone expects certain standard,1
19,expect much accomodations sumatra go lake toba samosir tabo cottage likely best option view toward lake sunrise ok breakfast selection fine dish freshly prepared location good enough walk little dine local restaurant room equiped functional ok special nonethless looked accomodations samosir guess tabo coattages best option place look either abandoned maintained,0
20,great food people music love goldie around u friendly dog need hotel room fantastic hammock sofa balcony water sport available kid love come back sure,1
